"PI_CONFIG_ID","CREATED_BY","CREATED_DATE","MODIFIED_DATE","UPDATED_BY","CHANNEL_CODE","PI_INSTANCE_NAME","PAYMENT_GATEWAY_CODE","PAYMENT_INSTRUMENT","PERCENTAGE_ROUTING","DISPLAY_PRIORITY","TENANT_CODE"
83,,,,,APP,SBI,RAZORPAY,NET_BANKING,90,2,AJIO
84,,,,,APP,Kotak Bank,RAZORPAY,NET_BANKING,90,5,AJIO
85,,,,,APP,Andhra Bank,RAZORPAY,NET_BANKING,90,6,AJIO
87,,,,,APP,PAYTM,PAYTM,WALLET,100,2,AJIO
88,,,,,APP,Mobikwik,RAZORPAY,WALLET,90,4,AJIO
89,,,,,APP,PhonePe,RAZORPAY,WALLET,90,1,AJIO
90,,,,,APP,Allahabad Bank,RAZORPAY,NET_BANKING,90,8,AJIO
91,,,,,APP,Jio Money,RAZORPAY,WALLET,90,3,AJIO
92,,,,,APP,Bank of Baroda - Corporate Banking,RAZORPAY,NET_BANKING,90,0,AJIO
93,,,,,APP,Bank of Bahrain and Kuwait,RAZORPAY,NET_BANKING,90,11,AJIO
94,,,,,APP,Bank of Baroda - Retail Banking,RAZORPAY,NET_BANKING,90,12,AJIO
98,,,,,APP,Bank Of India,RAZORPAY,NET_BANKING,90,16,AJIO
99,,,,,APP,Bank of Maharashtra,RAZORPAY,NET_BANKING,90,17,AJIO
100,,,,,APP,Central Bank of India,RAZORPAY,NET_BANKING,90,18,AJIO
101,,,,,APP,Canara Bank,RAZORPAY,NET_BANKING,90,19,AJIO
102,,,,,APP,Cosmos Bank,RAZORPAY,NET_BANKING,90,20,AJIO
105,,,,,APP,Catholic Syrian Bank,RAZORPAY,NET_BANKING,90,23,AJIO
106,,,,,APP,City Union Bank,RAZORPAY,NET_BANKING,90,24,AJIO
107,,,,,APP,Deutsche Bank,RAZORPAY,NET_BANKING,90,25,AJIO
108,,,,,APP,DBS Bank,RAZORPAY,NET_BANKING,90,26,AJIO
111,,,,,APP,Dena Bank,RAZORPAY,NET_BANKING,90,29,AJIO
112,,,,,APP,Dhanlakshmi Bank,RAZORPAY,NET_BANKING,90,30,AJIO
114,,,,,APP,Federal Bank,RAZORPAY,NET_BANKING,90,32,AJIO
115,,,,,APP,HDFC,RAZORPAY,NET_BANKING,90,1,AJIO
116,,,,,APP,ICICI,RAZORPAY,NET_BANKING,90,3,AJIO
117,,,,,APP,IDBI,RAZORPAY,NET_BANKING,90,35,AJIO
118,,,,,APP,IDFC,RAZORPAY,NET_BANKING,90,36,AJIO
119,,,,,APP,IndusInd Bank,RAZORPAY,NET_BANKING,90,37,AJIO
120,,,,,APP,Indian Bank,RAZORPAY,NET_BANKING,90,38,AJIO
122,,,,,APP,Indian Overseas Bank,RAZORPAY,NET_BANKING,90,40,AJIO
123,,,,,APP,Jammu & Kashmir Bank,RAZORPAY,NET_BANKING,90,41,AJIO
124,,,,,APP,Janata Sahakari bank,RAZORPAY,NET_BANKING,90,42,AJIO
125,,,,,APP,Karnataka Bank Ltd,RAZORPAY,NET_BANKING,90,43,AJIO
127,,,,,APP,Karur Vysya Bank,RAZORPAY,NET_BANKING,90,45,AJIO
131,,,,,APP,NKGSB Bank,RAZORPAY,NET_BANKING,90,49,AJIO
132,,,,,APP,Oriental Bank of Commerce,RAZORPAY,NET_BANKING,90,50,AJIO
133,,,,,APP,Punjab & Maharastra Coop Bank,RAZORPAY,NET_BANKING,90,51,AJIO
134,,,,,APP,Punjab National Bank - Retail Banking,RAZORPAY,NET_BANKING,90,52,AJIO
135,,,,,APP,Punjab & Sind Bank,RAZORPAY,NET_BANKING,90,53,AJIO
138,,,,,APP,RBL Bank,RAZORPAY,NET_BANKING,90,56,AJIO
139,,,,,APP,State Bank of Hyderabad,RAZORPAY,NET_BANKING,90,57,AJIO
140,,,,,APP,State Bank of Bikaner & Jaipur,RAZORPAY,NET_BANKING,90,58,AJIO
141,,,,,APP,State Bank of Mysore,RAZORPAY,NET_BANKING,90,59,AJIO
142,,,,,APP,State Bank of Patiala,RAZORPAY,NET_BANKING,90,60,AJIO
143,,,,,APP,State Bank of Travancore,RAZORPAY,NET_BANKING,90,61,AJIO
144,,,,,APP,Standard Chartered Bank,RAZORPAY,NET_BANKING,90,62,AJIO
145,,,,,APP,South Indian Bank,RAZORPAY,NET_BANKING,90,63,AJIO
146,,,,,APP,Shamrao Vitthal Co-operative Bank,RAZORPAY,NET_BANKING,90,64,AJIO
147,,,,,APP,Saraswat Bank,RAZORPAY,NET_BANKING,90,65,AJIO
148,,,,,APP,Syndicate Bank,RAZORPAY,NET_BANKING,90,66,AJIO
150,,,,,APP,Tamilnad Mercantile Bank Ltd.,RAZORPAY,NET_BANKING,90,68,AJIO
151,,,,,APP,Tamilnadu State Coop Bank,RAZORPAY,NET_BANKING,90,69,AJIO
152,,,,,APP,Union Bank of India,RAZORPAY,NET_BANKING,90,70,AJIO
153,,,,,APP,UCO Bank,RAZORPAY,NET_BANKING,90,71,AJIO
154,,,,,APP,United Bank of India,RAZORPAY,NET_BANKING,90,72,AJIO
155,,,,,APP,AXIS Bank,RAZORPAY,NET_BANKING,90,4,AJIO
156,,,,,APP,Vijaya Bank,RAZORPAY,NET_BANKING,90,74,AJIO
157,,,,,APP,Yes Bank Ltd,RAZORPAY,NET_BANKING,90,75,AJIO
158,,,,,APP,AU Small Finance Bank,RAZORPAY,NET_BANKING,90,158,AJIO
159,,,,,APP,Airtel Payments Bank,RAZORPAY,NET_BANKING,90,159,AJIO
160,,,,,APP,DCB Bank,RAZORPAY,NET_BANKING,90,160,AJIO
161,,,,,APP,Equitas Small Finance Bank,RAZORPAY,NET_BANKING,90,161,AJIO
162,,,,,APP,ICICI Bank - Corporate Banking,RAZORPAY,NET_BANKING,90,162,AJIO
